sec_duration,danceability,energy,key,loudness,valence,tempo,color_code
0.25517241379310346,0.39299999999999996,0.943,0.2727272727272727,0.6860383161401935,0.0739,0.7580191235338333,"rgb(7,44,112)"
0.496551724137931,0.557,0.41200000000000003,0.9090909090909091,0.27769590568334734,0.44,0.09109025119303578,"rgb(20,70,52)"
0.19310344827586207,0.609,0.937,0.2727272727272727,0.625937079515602,0.452,0.7795636897582464,"rgb(200,0,3)"
0.2413793103448276,0.772,0.922,0.7272727272727273,0.8252066380470302,0.9440000000000001,0.6261995909591481,"rgb(26,103,177)"
0.27586206896551724,0.8,0.738,0.45454545454545453,0.553149227910553,0.278,0.12820983446081768,"rgb(101,50,151)"
0.06896551724137931,0.593,0.809,0.0,0.8374447363362594,0.715,0.7691191637387031,"rgb(128,21,22)"
0.013793103448275862,0.501,0.78,0.9090909090909091,0.9098481450631127,0.9590000000000001,1.0,"rgb(241,99,1)"
0.2620689655172414,0.653,0.583,0.7272727272727273,0.5949894278208496,0.937,0.13797262572762062,"rgb(191,87,0)"
0.13793103448275862,0.521,0.877,0.9090909090909091,0.9960914974050106,0.569,0.7318422570664429,"rgb(204,0,0)"
0.18620689655172415,0.501,0.695,0.09090909090909091,0.6832190683667585,0.937,0.8151187791703811,"rgb(0,50,120)"
0.4482758620689655,0.65,0.713,0.6363636363636364,1.0,0.762,0.7576957365357385,"rgb(0,40,85)"
0.22758620689655173,0.386,0.691,0.0,0.7412699429743065,0.818,0.8468544059293441,"rgb(232,74,39)"
0.2482758620689655,0.655,0.6920000000000001,0.45454545454545453,0.8412250913051836,0.9670000000000001,0.7378992081388639,"rgb(154,0,0)"
0.3103448275862069,0.43,0.29600000000000004,0.7272727272727273,0.058050874607548264,0.813,0.7380215707867918,"rgb(130,36,52)"
0.2,0.532,0.773,0.9090909090909091,0.7579932081758186,0.617,0.6650934326218819,"rgb(224,58,62)"
0.6551724137931034,0.546,0.679,0.7272727272727273,0.6019093996283719,0.325,0.1538972503364973,"rgb(5,39,76)"
0.5862068965517241,0.5770000000000001,0.88,0.7272727272727273,0.5545588517972705,0.184,0.6950460607967555,"rgb(24,69,59)"
0.22758620689655173,0.774,0.758,0.6363636363636364,0.7686294611392324,0.912,0.7501092523642211,"rgb(122,0,25)"
0.46206896551724136,0.617,0.384,1.0,0.05689754597296095,0.775,0.6129319838481303,"rgb(277,25,55)"
0.20689655172413793,0.725,0.888,0.9090909090909091,0.8464791439738578,0.9329999999999999,0.6552170188962887,"rgb(78,42,132)"
0.42758620689655175,0.608,0.6709999999999999,0.7272727272727273,0.8345614147497917,0.6509999999999999,0.9818903281067,"rgb(187,0,0)"
0.3724137931034483,0.524,0.397,0.0,0.48696097904786323,0.5720000000000001,0.6949236981488279,"rgb(22,41,83)"
0.4068965517241379,0.442,0.635,0.2727272727272727,0.7205100275517397,0.9009999999999999,0.826795671858339,"rgb(206,184,136)"
0.32413793103448274,0.46299999999999997,0.6459999999999999,0.9090909090909091,0.806689306080605,0.871,0.08491967766182454,"rgb(204,0,51)"
0.7379310344827587,0.615,0.815,0.45454545454545453,0.6800153777151279,0.516,0.5773768944359955,"rgb(197,5,12)"
0.38620689655172413,0.6990000000000001,0.49,0.9090909090909091,0.6463766258730057,0.804,0.6838498785113708,"rgb(9,51,102)"
0.5448275862068965,0.456,0.9790000000000001,0.45454545454545453,0.6374703658614724,0.0349,0.7363696750397678,"rgb(140,29,64)"
0.4206896551724138,0.49200000000000005,0.885,0.2727272727272727,0.977766386877683,0.6,0.5954166448161937,"rgb(250,181,21)"
0.0,0.439,0.5429999999999999,0.45454545454545453,0.9221503171653745,0.9670000000000001,0.7483612145366824,"rgb(207,184,124)"
0.36551724137931035,0.601,0.653,0.7272727272727273,0.6611776766835393,0.809,0.0,"rgb(16,78,54)"
0.2482758620689655,0.691,0.354,0.45454545454545453,0.7543410008329596,0.35600000000000004,0.6247224989948782,"rgb(221,66,0)"
