type,2016,2015,2014,2013,2012,2011,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1995,1990
men_age,29.5,29.2,29.3,29,28.6,28.4,28.7,28.2,28.1,27.6,27.5,27.5,27.1,27.4,27.1,26.9,26.9,26.8,26.9,26.9,26.1
women_age,27.4,27.1,27,26.6,26.6,26.4,26.5,26.1,25.9,25.9,25.6,25.5,25.3,25.3,25.3,25.3,25.1,25.1,25.1,24.5,23.9
