,school,conference,song_name,writers,year,student_writer,official_song,contest,bpm,sec_duration,fight,number_fights,victory,win_won,rah,nonsense,colors,men,opponents,spelling,trope_count,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
12,Indiana,Big Ten,"Indiana, Our Indiana",Russell P. Harker and Karl L. King,1912,1,1,0,150,63,1,1,0,0,0,0,1,0,0,1,3,2Wbo5zdRDnq4pOgWL9avaG,0.655,0.692,5,-8.309,1,0.0404,0.806,0.153,0.0504,0.967,149.909,63813,4,0.655,0.692,5,-8.309,1,0.0404,0.806,0.153,0.0504,0.967,149.909,63813,4,0.655,0.692,5,-8.309,1,0.0404,0.806,0.153,0.0504,0.967,149.909,63813,4
13,Iowa,Big Ten,Iowa Fight Song,Meredith Willson,1950,0,1,0,150,72,1,9,0,1,1,0,0,0,0,0,3,604ELPPFgbFlW0SHoEYVJw,0.43,0.296,8,-20.532,1,0.0357,0.985,0.0252,0.338,0.813,149.923,72360,4,0.43,0.296,8,-20.532,1,0.0357,0.985,0.0252,0.338,0.813,149.923,72360,4,0.43,0.296,8,-20.532,1,0.0357,0.985,0.0252,0.338,0.813,149.923,72360,4
14,Maryland,Big Ten,Maryland Fight Song,Ralph Davis,1939,1,1,0,142,56,1,8,1,1,0,0,0,0,0,0,3,6PKoPWKJLOBI2K33RkFvbc,0.532,0.773,10,-9.608,1,0.0711,0.705,0.946,0.115,0.617,141.579,56413,4,0.532,0.773,10,-9.608,1,0.0711,0.705,0.946,0.115,0.617,141.579,56413,4,0.532,0.773,10,-9.608,1,0.0711,0.705,0.946,0.115,0.617,141.579,56413,4
15,Michigan,Big Ten,The Victors,Louis Elbel,1898,1,1,0,83,122,0,0,0,0,0,0,0,0,0,0,0,6wVbHLCBOCqp6052WcWXLG,0.546,0.679,8,-12.044,1,0.0679,0.656,0.966,0.269,0.325,83.091,122968,4,0.546,0.679,8,-12.044,1,0.0679,0.656,0.966,0.269,0.325,83.091,122968,4,0.546,0.679,8,-12.044,1,0.0679,0.656,0.966,0.269,0.325,83.091,122968,4
16,Michigan State,Big Ten,Victory for MSU,Francis Irving Lankey and Arthur L. Sayles,1915,1,1,0,145,112,1,6,1,1,1,0,1,0,0,1,5,4BSrPApxbeUNPA5Q8LyfMd,0.577,0.88,8,-12.783,1,0.0643,0.785,0.0781,0.857,0.184,145.006,112453,4,0.577,0.88,8,-12.783,1,0.0643,0.785,0.0781,0.857,0.184,145.006,112453,4,0.577,0.88,8,-12.783,1,0.0643,0.785,0.0781,0.857,0.184,145.006,112453,4
17,Minnesota,Big Ten,The Minnesota Rouser,Floyd Hutsell,1909,0,1,1,151,60,0,0,0,0,1,1,0,0,0,1,3,2EeyLSmHKdZulOKGcTpLS0,0.774,0.758,7,-9.442,0,0.048,0.293,0.0,0.114,0.912,151.306,60107,4,0.774,0.758,7,-9.442,0,0.048,0.293,0.0,0.114,0.912,151.306,60107,4,0.774,0.758,7,-9.442,0,0.048,0.293,0.0,0.114,0.912,151.306,60107,4
18,Nebraska,Big Ten,Dear Old Nebraska U.,Harry Pecha,1924,1,0,0,136,94,0,0,0,0,0,0,0,1,0,0,1,7z2TihIyf3IZR1r0AmI1Ik,0.617,0.384,11,-20.55,1,0.0486,0.862,0.00576,0.0754,0.775,135.611,94147,4,0.617,0.384,11,-20.55,1,0.0486,0.862,0.00576,0.0754,0.775,135.611,94147,4,0.617,0.384,11,-20.55,1,0.0486,0.862,0.00576,0.0754,0.775,135.611,94147,4
19,Northwestern,Big Ten,Go! U Northwestern,Theodore C. Van Etten,1912,1,1,0,140,57,1,1,1,1,1,0,0,0,0,0,4,4iWO9U49SZ0vvzto7qxRxN,0.725,0.888,10,-8.227,1,0.0316,0.758,0.701,0.149,0.933,140.449,57387,4,0.725,0.888,10,-8.227,1,0.0316,0.758,0.701,0.149,0.933,140.449,57387,4,0.725,0.888,10,-8.227,1,0.0316,0.758,0.701,0.149,0.933,140.449,57387,4
20,Ohio State,Big Ten,Buckeye Battle Cry,Frank Crumit,1919,0,1,1,178,89,1,1,1,1,0,0,1,1,0,0,5,2faIedehtxwQqYxRRc6T2L,0.608,0.671,8,-8.413,1,0.0578,0.96,0.972,0.171,0.651,177.825,89147,4,0.608,0.671,8,-8.413,1,0.0578,0.96,0.972,0.171,0.651,177.825,89147,4,0.608,0.671,8,-8.413,1,0.0578,0.96,0.972,0.171,0.651,177.825,89147,4
21,Penn State,Big Ten,"Fight On, State",Joseph Sanders,1933,0,1,0,145,81,1,5,1,1,0,0,1,0,0,1,5,5InlNNfIFQAvCL78VFgR5O,0.524,0.397,0,-13.838,1,0.0542,0.534,0.0,0.269,0.572,144.992,81800,4,0.524,0.397,0,-13.838,1,0.0542,0.534,0.0,0.269,0.572,144.992,81800,4,0.524,0.397,0,-13.838,1,0.0542,0.534,0.0,0.269,0.572,144.992,81800,4
