,school,conference,song_name,writers,year,student_writer,official_song,contest,bpm,sec_duration,fight,number_fights,victory,win_won,rah,nonsense,colors,men,opponents,spelling,trope_count,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
54,Florida State,ACC,FSU Fight Song,Doug Alley and Tommie Wright,1950,1,1,0,135,92,1,6,1,1,0,1,0,0,0,1,5,552UZRLtAO5YXvIVRLjphI,0.66,0.557,3,-11.388,0,0.0324,0.679,0.834,0.204,0.714,135.073,92321,4,0.66,0.557,3,-11.388,0,0.0324,0.679,0.834,0.204,0.714,135.073,92321,4,0.66,0.557,3,-11.388,0,0.0324,0.679,0.834,0.204,0.714,135.073,92321,4
55,Georgia Tech,ACC,Ramblin' Wreck From Georgia Tech,Unknown,Unknown,1,1,0,148,68,0,0,0,0,0,0,1,1,1,0,3,0ZOzvjnZDwrtluHrwbtvGR,0.495,0.665,3,-11.173,1,0.0654,0.688,0.95,0.183,0.73,148.157,68027,4,0.495,0.665,3,-11.173,1,0.0654,0.688,0.95,0.183,0.73,148.157,68027,4,0.495,0.665,3,-11.173,1,0.0654,0.688,0.95,0.183,0.73,148.157,68027,4
56,Louisville,ACC,Fight! U of L,Robert B. Griffith,1962,0,1,0,139,80,1,3,1,1,1,0,0,0,0,1,5,1sCmJDLWfD4hsCHyc9hqUr,0.545,0.8,10,-10.335,1,0.0322,0.74,0.97,0.196,0.485,139.464,80387,4,0.545,0.8,10,-10.335,1,0.0322,0.74,0.97,0.196,0.485,139.464,80387,4,0.545,0.8,10,-10.335,1,0.0322,0.74,0.97,0.196,0.485,139.464,80387,4
57,Miami,ACC,Miami U How-Dee-Doo,Henry Fillmore,1950,0,1,0,75,73,1,3,1,0,0,0,0,0,0,1,3,2TDHghruqAnMmH4L9GFUUr,0.651,0.713,3,-14.37,1,0.036,0.875,0.94,0.134,0.689,74.586,73053,4,0.651,0.713,3,-14.37,1,0.036,0.875,0.94,0.134,0.689,74.586,73053,4,0.651,0.713,3,-14.37,1,0.036,0.875,0.94,0.134,0.689,74.586,73053,4
58,North Carolina,ACC,I'm a Tar Heel Born,Unknown,Unknown,Unknown,1,0,158,38,0,0,0,0,1,0,0,0,0,0,1,23cCr6w4YgxQaYlr3eNTUr,0.512,0.971,3,-8.1,1,0.0437,0.661,0.745,0.35,0.0852,157.571,38200,4,0.512,0.971,3,-8.1,1,0.0437,0.661,0.745,0.35,0.0852,157.571,38200,4,0.512,0.971,3,-8.1,1,0.0437,0.661,0.745,0.35,0.0852,157.571,38200,4
59,North Carolina State,ACC,The Red & White Song,J. Perry Watson,1961,0,0,0,90,82,0,0,0,0,0,0,1,0,1,1,3,2Pn76lkyMhOxJj8maIrIRT,0.489,0.781,1,-10.038,1,0.0434,0.461,0.724,0.195,0.407,90.094,82120,4,0.489,0.781,1,-10.038,1,0.0434,0.461,0.724,0.195,0.407,90.094,82120,4,0.489,0.781,1,-10.038,1,0.0434,0.461,0.724,0.195,0.407,90.094,82120,4
60,Pitt,ACC,Hail to Pitt,George Kirk and Lester Milton Taylor,1911,1,1,0,79,110,0,0,1,1,0,1,1,1,0,1,6,55nndPja6lpTsGMinT1SJy,0.465,0.847,0,-9.898,1,0.0441,0.0584,0.944,0.274,0.271,78.701,110040,4,0.465,0.847,0,-9.898,1,0.0441,0.0584,0.944,0.274,0.271,78.701,110040,4,0.465,0.847,0,-9.898,1,0.0441,0.0584,0.944,0.274,0.271,78.701,110040,4
61,Syracuse,ACC,Down the Field,Ralph Murphy and C. Harold Lewis,1914,1,1,0,137,85,1,3,1,0,1,0,1,1,1,0,6,4zrPkQ9AFljRbPy0JNW6cA,0.568,0.4,4,-19.338,1,0.0447,0.834,0.0372,0.576,0.705,137.317,85840,4,0.568,0.4,4,-19.338,1,0.0447,0.834,0.0372,0.576,0.705,137.317,85840,4,0.568,0.4,4,-19.338,1,0.0447,0.834,0.0372,0.576,0.705,137.317,85840,4
62,Virginia,ACC,The Good Old Song,Edward H. Craighill,1893,1,0,0,112,42,0,0,0,0,1,1,0,0,0,1,3,4zymLpKnHG2KURvrSUyUy8,0.518,0.534,1,-10.594,1,0.0403,0.178,0.877,0.126,0.729,111.763,42453,4,0.518,0.534,1,-10.594,1,0.0403,0.178,0.877,0.126,0.729,111.763,42453,4,0.518,0.534,1,-10.594,1,0.0403,0.178,0.877,0.126,0.729,111.763,42453,4
63,Virginia Tech,ACC,Tech Triumph,Wilfred P. Maddux and Mattie Eppes,1919,1,1,0,133,71,0,0,0,1,0,1,1,1,0,1,5,5v3wGg8VMD8MMYGb8SXBss,0.516,0.699,5,-11.102,1,0.0367,0.457,0.375,0.224,0.771,132.784,71827,4,0.516,0.699,5,-11.102,1,0.0367,0.457,0.375,0.224,0.771,132.784,71827,4,0.516,0.699,5,-11.102,1,0.0367,0.457,0.375,0.224,0.771,132.784,71827,4
64,Wake Forest,ACC,O Here's To Wake Forest,C.P. Weaver,1908,0,1,0,146,69,0,0,0,0,1,0,1,1,0,0,3,3u6THWNCTIdCcGIcJ1FQsN,0.575,0.307,8,-11.03,1,0.0483,0.734,0.00194,0.112,0.401,146.317,69613,4,0.575,0.307,8,-11.03,1,0.0483,0.734,0.00194,0.112,0.401,146.317,69613,4,0.575,0.307,8,-11.03,1,0.0483,0.734,0.00194,0.112,0.401,146.317,69613,4
